utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,sadl.started,smlyl.started,smlyl.stopped,text_2.started,sadl.stopped,text_2.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,,,,36.283193700015545,36.283193700015545,36.283193700015545,36.283193700015545,36.283193700015545,w,0.19425949989818037,36.484789200127125,36.484789200127125,36.8872626000084,36.8872626000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
22,0,22,0,,,,,,,,,,,,,36.8872626000084,36.8872626000084,36.8872626000084,36.8872626000084,36.8872626000084,o,0.20117040001787245,37.094691700069234,37.094691700069234,37.49815579992719,37.49815579992719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
23,0,23,0,,,,,,,,,,,,,37.49815579992719,37.49815579992719,37.49815579992719,37.49815579992719,37.49815579992719,p,0.16511339996941388,37.671307400101796,37.671307400101796,38.074679400073364,38.074679400073364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
24,0,24,0,,,,,,,,,,,,,38.074679400073364,38.074679400073364,38.074679400073364,38.074679400073364,38.074679400073364,q,0.16845769993960857,38.25370889995247,38.25370889995247,38.65823119995184,38.65823119995184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
25,0,25,0,,,,,,,,,,,,,38.65823119995184,38.65823119995184,38.65823119995184,38.65823119995184,38.65823119995184,w,0.17353589995764196,38.838217000011355,38.838217000011355,39.24183359998278,39.24183359998278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
26,0,26,0,,,,,,,,,,,,,39.24183359998278,39.24183359998278,39.24183359998278,39.24183359998278,39.24183359998278,o,0.14516699989326298,39.39330370002426,39.39330370002426,39.797031100140885,39.797031100140885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
27,0,27,0,,,,,,,,,,,,,39.797031100140885,39.797031100140885,39.797031100140885,39.797031100140885,39.797031100140885,p,0.20123919984325767,40.00479739997536,40.00479739997536,40.408103100024164,40.408103100024164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
28,0,28,0,,,,,,,,,,,,,40.408103100024164,40.408103100024164,40.408103100024164,40.408103100024164,40.408103100024164,o,0.1543965998571366,40.57339880010113,40.57339880010113,40.97768200002611,40.97768200002611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
29,0,29,0,,,,,,,,,,,,,40.97768200002611,40.97768200002611,40.97768200002611,40.97768200002611,40.97768200002611,o,0.14038899983279407,41.12839620001614,41.12839620001614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
30,0,30,0,,,,,,,,,,,,,41.53296450013295,41.53296450013295,41.53296450013295,41.53296450013295,41.53296450013295,o,0.1930238998029381,41.73316609999165,41.73316609999165,42.137535700108856,42.137535700108856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
31,0,31,0,,,,,,,,,,,,,42.137535700108856,42.137535700108856,42.137535700108856,42.137535700108856,42.137535700108856,o,0.2231797999702394,42.3717706000898,42.3717706000898,42.77603640011512,42.77603640011512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
32,0,32,0,,,,,,,,,,,,,42.77603640011512,42.77603640011512,42.77603640011512,42.77603640011512,42.77603640011512,o,0.18179409997537732,42.9687125000637,42.9687125000637,43.37320880009793,43.37320880009793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
33,0,33,0,,,,,,,,,,,,,43.37320880009793,43.37320880009793,43.37320880009793,43.37320880009793,43.37320880009793,p,0.1749042000155896,43.55839679995552,43.55839679995552,43.963499600067735,43.963499600067735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
34,0,34,0,,,,,,,,,,,,,43.963499600067735,43.963499600067735,43.963499600067735,43.963499600067735,43.963499600067735,p,0.20021270005963743,44.17189020011574,44.17189020011574,44.574697100091726,44.574697100091726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
35,0,35,0,,,,,,,,,,,,,44.574697100091726,44.574697100091726,44.574697100091726,44.574697100091726,44.574697100091726,p,0.20668609999120235,44.78904090006836,44.78904090006836,45.19302319991402,45.19302319991402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
36,0,36,0,,,,,,,,,,,,,45.19302319991402,45.19302319991402,45.19302319991402,45.19302319991402,45.19302319991402,p,0.18207139987498522,45.387428800109774,45.387428800109774,45.7903233000543,45.7903233000543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
37,0,37,0,,,,,,,,,,,,,45.7903233000543,45.7903233000543,45.7903233000543,45.7903233000543,45.7903233000543,p,0.1685689997393638,45.96885830000974,45.96885830000974,46.373223799979314,46.373223799979314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
38,0,38,0,,,,,,,,,,,,,46.373223799979314,46.373223799979314,46.373223799979314,46.373223799979314,46.373223799979314,q,0.18457729974761605,46.56626489991322,46.56626489991322,46.970680499915034,46.970680499915034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
39,0,39,0,,,,,,,,,,,,,46.970680499915034,46.970680499915034,46.970680499915034,46.970680499915034,46.970680499915034,q,0.1885490999557078,47.171278400113806,47.171278400113806,47.57278160005808,47.57278160005808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,47.57278160005808,47.57278160005808,space,1.7244024998508394,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.31118720001541,49.31118720001541,49.31118720001541,49.31118720001541,49.31118720001541,49.31118720001541,49.31118720001541,49.31118720001541,49.31118720001541,50.30922030005604,50.30922030005604,50.30922030005604,50.30922030005604,50.30922030005604,50.30922030005604,50.30922030005604,50.30922030005604,50.30922030005604,None,50.30922030005604,50.30922030005604,50.30922030005604,50.30922030005604,,,,,,,,,
