utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,sadl.started,smlyl.started,smlyl.stopped,text_2.started,sadl.stopped,text_2.stopped,key_resp.rt,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Roll Number,Name,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,,,,,,,,73.92871599993668,73.92871599993668,73.92871599993668,73.92871599993668,73.92871599993668,p,0.31719399988651276,74.25614750012755,74.25614750012755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
14,0,14,0,,,,,,,,,,,,,,,,,74.66455320012756,74.66455320012756,74.66455320012756,74.66455320012756,74.66455320012756,o,0.3559338999912143,75.03196140006185,75.03196140006185,75.4354332999792,75.4354332999792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
15,0,15,0,,,,,,,,,,,,,,,,,75.4354332999792,75.4354332999792,75.4354332999792,75.4354332999792,75.4354332999792,p,0.2406159001402557,75.68375000008382,75.68375000008382,76.08859289996326,76.08859289996326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
16,0,16,0,,,,,,,,,,,,,,,,,76.08859289996326,76.08859289996326,76.08859289996326,76.08859289996326,76.08859289996326,p,0.3047263999469578,76.3997961001005,76.3997961001005,76.8033948999364,76.8033948999364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
17,0,17,0,,,,,,,,,,,,,,,,,76.8033948999364,76.8033948999364,76.8033948999364,76.8033948999364,76.8033948999364,p,0.3189574999269098,77.12868440011516,77.12868440011516,77.53237679996528,77.53237679996528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
18,0,18,0,,,,,,,,,,,,,,,,,77.53237679996528,77.53237679996528,77.53237679996528,77.53237679996528,77.53237679996528,p,0.2752765000332147,77.81586809991859,77.81586809991859,78.21975639997981,78.21975639997981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
19,0,19,0,,,,,,,,,,,,,,,,,78.21975639997981,78.21975639997981,78.21975639997981,78.21975639997981,78.21975639997981,p,0.26202429994009435,78.48992720013484,78.48992720013484,78.89351429999806,78.89351429999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
20,0,20,0,,,,,,,,,,,,,,,,,78.89351429999806,78.89351429999806,78.89351429999806,78.89351429999806,78.89351429999806,p,0.31761189992539585,79.22069890005514,79.22069890005514,79.62273710011505,79.62273710011505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
21,0,21,0,,,,,,,,,,,,,,,,,79.62273710011505,79.62273710011505,79.62273710011505,79.62273710011505,79.62273710011505,p,0.21366179990582168,79.84414710011333,79.84414710011333,80.24814260005951,80.24814260005951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
22,0,22,0,,,,,,,,,,,,,,,,,80.24814260005951,80.24814260005951,80.24814260005951,80.24814260005951,80.24814260005951,p,0.33802339993417263,80.59430740005337,80.59430740005337,80.99842469999567,80.99842469999567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
