utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,Roll Number,Name,date,expName,psychopyVersion,frameRate,
36,0,36,0,,,,,,,,,42.084172200004105,42.084172200004105,42.084172200004105,42.084172200004105,42.084172200004105,q,0.09722280001733452,42.19926819999819,42.19926819999819,42.60031400001026,42.60031400001026,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
37,0,37,0,,,,,,,,,42.60031400001026,42.60031400001026,42.60031400001026,42.60031400001026,42.60031400001026,q,0.10177259999909438,42.73244100000011,42.73244100000011,43.13468940000166,43.13468940000166,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
38,0,38,0,,,,,,,,,43.13468940000166,43.13468940000166,43.13468940000166,43.13468940000166,43.13468940000166,q,0.0885372000047937,43.24866519999341,43.24866519999341,43.6500190999941,43.6500190999941,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
39,0,39,0,,,,,,,,,43.6500190999941,43.6500190999941,43.6500190999941,43.6500190999941,43.6500190999941,q,0.020728400006191805,43.71417769999243,43.71417769999243,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
40,0,40,0,,,,,,,,,44.1163438000076,44.1163438000076,44.1163438000076,44.1163438000076,44.1163438000076,q,0.002428899984806776,44.14842750001117,44.14842750001117,44.549686999991536,44.549686999991536,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
41,0,41,0,,,,,,,,,44.549686999991536,44.549686999991536,44.549686999991536,44.549686999991536,44.549686999991536,q,0.1637633999926038,44.73118239999167,44.73118239999167,45.132167900010245,45.132167900010245,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
42,0,42,0,,,,,,,,,45.132167900010245,45.132167900010245,45.132167900010245,45.132167900010245,45.132167900010245,q,0.1738813999982085,45.33140709999134,45.33140709999134,45.73295249999501,45.73295249999501,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
43,0,43,0,,,,,,,,,45.73295249999501,45.73295249999501,45.73295249999501,45.73295249999501,45.73295249999501,q,0.27574359998106956,46.03082389998599,46.03082389998599,46.432528800010914,46.432528800010914,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
44,0,44,0,,,,,,,,,46.432528800010914,46.432528800010914,46.432528800010914,46.432528800010914,46.432528800010914,q,0.07613879998098128,46.530695299996296,46.530695299996296,46.93190160000813,46.93190160000813,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
45,0,45,0,,,,,,,,,46.93190160000813,46.93190160000813,46.93190160000813,46.93190160000813,46.93190160000813,q,0.1409136000147555,47.096733199985465,47.096733199985465,47.49888309999369,47.49888309999369,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
46,0,46,0,,,,,,,,,47.49888309999369,47.49888309999369,47.49888309999369,47.49888309999369,47.49888309999369,q,0.17556500001228414,47.71202360000461,47.71202360000461,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
47,0,47,0,,,,,,,,,48.11540929999319,48.11540929999319,48.11540929999319,48.11540929999319,48.11540929999319,q,0.10812000001897104,48.24912540000514,48.24912540000514,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
48,0,48,0,,,,,,,,,48.66445310000563,48.66445310000563,48.66445310000563,48.66445310000563,48.66445310000563,q,0.11955390000366606,48.828035799990175,48.828035799990175,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
49,0,49,0,,,,,,,,,49.23009599998477,49.23009599998477,49.23009599998477,49.23009599998477,49.23009599998477,q,0.26703119999729097,49.527747399988584,49.527747399988584,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
50,0,50,0,,,,,,,,,49.93016580000403,49.93016580000403,49.93016580000403,49.93016580000403,49.93016580000403,q,0.7952158999978565,50.745274499990046,50.745274499990046,51.14620680001099,51.14620680001099,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
51,0,51,0,,,,,,,,,51.14620680001099,51.14620680001099,51.14620680001099,51.14620680001099,51.14620680001099,q,0.30192169998190366,51.477774800005136,51.477774800005136,51.879220200004056,51.879220200004056,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
52,0,52,0,,,,,,,,,51.879220200004056,51.879220200004056,51.879220200004056,51.879220200004056,51.879220200004056,q,0.11257640001713298,52.010768000007374,52.010768000007374,52.41301329998532,52.41301329998532,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
53,0,53,0,,,,,,,,,52.41301329998532,52.41301329998532,52.41301329998532,52.41301329998532,52.41301329998532,q,0.6065761999925599,53.04362529999344,53.04362529999344,53.44507789998897,53.44507789998897,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
54,0,54,0,,,,,,,,,53.44507789998897,53.44507789998897,53.44507789998897,53.44507789998897,53.44507789998897,q,1.601017699984368,55.07585759999347,55.07585759999347,55.47705990000395,55.47705990000395,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
55,0,55,0,,,,,,,,,55.47705990000395,55.47705990000395,55.47705990000395,55.47705990000395,55.47705990000395,q,1.0683297000068706,56.575250299996696,56.575250299996696,56.977991899999324,56.977991899999324,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
56,0,56,0,,,,,,,,,56.977991899999324,56.977991899999324,56.977991899999324,56.977991899999324,56.977991899999324,q,1.6705518999951892,58.674128099984955,58.674128099984955,59.07648980000522,59.07648980000522,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
57,0,57,0,,,,,,,,,59.07648980000522,59.07648980000522,59.07648980000522,59.07648980000522,59.07648980000522,q,0.46550269998260774,59.55717640000512,59.55717640000512,59.958639999997104,59.958639999997104,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
58,0,58,0,,,,,,,,,59.958639999997104,59.958639999997104,59.958639999997104,59.958639999997104,59.958639999997104,q,0.1086178999976255,60.09034419999807,60.09034419999807,60.49122749999515,60.49122749999515,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
59,0,59,0,,,,,,,,,60.49122749999515,60.49122749999515,60.49122749999515,60.49122749999515,60.49122749999515,q,0.03366629997617565,60.572080199985066,60.572080199985066,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
60,0,60,0,,,,,,,,,60.9752135000017,60.9752135000017,60.9752135000017,60.9752135000017,60.9752135000017,q,0.10696879998431541,61.1064558000071,61.1064558000071,61.50892079999903,61.50892079999903,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
61,0,61,0,,,,,,,,,61.50892079999903,61.50892079999903,61.50892079999903,61.50892079999903,61.50892079999903,q,0.19639549998100847,61.72257390001323,61.72257390001323,62.123870000010356,62.123870000010356,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
62,0,62,0,,,,,,,,,62.123870000010356,62.123870000010356,62.123870000010356,62.123870000010356,62.123870000010356,q,0.18156370002543554,62.32213749998482,62.32213749998482,62.72483540000394,62.72483540000394,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
