utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
17,0,17,0,,,,,,,,,,,,,,,,,48.54808269999921,48.54808269999921,48.54808269999921,48.54808269999921,48.54808269999921,o,0.22446099994704127,48.782471999991685,48.782471999991685,49.1857483999338,49.1857483999338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
18,0,18,0,,,,,,,,,,,,,,,,,49.1857483999338,49.1857483999338,49.1857483999338,49.1857483999338,49.1857483999338,o,0.22754089999943972,49.42185809998773,49.42185809998773,49.82495669997297,49.82495669997297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
19,0,19,0,,,,,,,,,,,,,,,,,49.82495669997297,49.82495669997297,49.82495669997297,49.82495669997297,49.82495669997297,p,0.20311150001361966,50.03992490004748,50.03992490004748,50.44273809995502,50.44273809995502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
20,0,20,0,,,,,,,,,,,,,,,,,50.44273809995502,50.44273809995502,50.44273809995502,50.44273809995502,50.44273809995502,p,0.17364239995367825,50.622311000013724,50.622311000013724,51.02647270006128,51.02647270006128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
21,0,21,0,,,,,,,,,,,,,,,,,51.02647270006128,51.02647270006128,51.02647270006128,51.02647270006128,51.02647270006128,p,0.2249476001597941,51.26117600011639,51.26117600011639,51.66521929996088,51.66521929996088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
22,0,22,0,,,,,,,,,,,,,,,,,51.66521929996088,51.66521929996088,51.66521929996088,51.66521929996088,51.66521929996088,p,0.22073299996554852,51.894437100039795,51.894437100039795,52.29757110006176,52.29757110006176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
23,0,23,0,,,,,,,,,,,,,,,,,52.29757110006176,52.29757110006176,52.29757110006176,52.29757110006176,52.29757110006176,q,0.2212478001601994,52.527054999955,52.527054999955,52.92928109993227,52.92928109993227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
24,0,24,0,,,,,,,,,,,,,,,,,52.92928109993227,52.92928109993227,52.92928109993227,52.92928109993227,52.92928109993227,q,0.2651411001570523,53.20532459998503,53.20532459998503,53.60988410003483,53.60988410003483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
25,0,25,0,,,,,,,,,,,,,,,,,53.60988410003483,53.60988410003483,53.60988410003483,53.60988410003483,53.60988410003483,q,0.24809050001204014,53.86653900006786,53.86653900006786,54.26912109996192,54.26912109996192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
26,0,26,0,,,,,,,,,,,,,,,,,54.26912109996192,54.26912109996192,54.26912109996192,54.26912109996192,54.26912109996192,q,0.2222164999693632,54.49754130002111,54.49754130002111,54.90130829997361,54.90130829997361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
