newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text_2.stopped,text_7.stopped,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,39.41304580005817,39.41304580005817,space,0.5381042000371963,,,,,,,,,,,,,,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
0,0,0,0,0,0,0,0,,,,,,,,,40.001233800081536,40.001233800081536,space,1.0717644998803735,,,,,,,,,,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
0,0,0,0,,,,,,,,,,,,,,,,,41.13711460004561,41.13711460004561,41.13711460004561,41.13711460004561,41.13711460004561,q,0.5720220999792218,41.74296570010483,41.753846999956295,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
1,0,1,0,,,,,,,,,,,,,,,,,42.15637889993377,42.15637889993377,42.15637889993377,42.15637889993377,42.15637889993377,q,0.3074022999498993,42.48687619995326,42.50365750002675,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
2,0,2,0,,,,,,,,,,,,,,,,,42.907054299954325,42.907054299954325,42.907054299954325,42.907054299954325,42.907054299954325,p,0.26650959998369217,43.18905350007117,43.203748600091785,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
3,0,3,0,,,,,,,,,,,,,,,,,43.60688760015182,43.60688760015182,43.60688760015182,43.60688760015182,43.60688760015182,p,0.2225089999847114,43.85386050003581,43.87053790013306,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
4,0,4,0,,,,,,,,,,,,,,,,,44.27319370000623,44.27319370000623,44.27319370000623,44.27319370000623,44.27319370000623,p,0.18425010005012155,44.48699320014566,44.503649400081486,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
5,0,5,0,,,,,,,,,,,,,,,,,44.90660879993811,44.90660879993811,44.90660879993811,44.90660879993811,44.90660879993811,p,0.21819859999231994,45.15360890002921,45.17044420004822,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
6,0,6,0,,,,,,,,,,,,,,,,,45.572562400018796,45.572562400018796,45.572562400018796,45.572562400018796,45.572562400018796,p,0.1446402999572456,45.73678250005469,45.754456100054085,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
7,0,7,0,,,,,,,,,,,,,,,,,46.156212199945,46.156212199945,46.156212199945,46.156212199945,46.156212199945,p,0.19478120002895594,46.37010299996473,46.38690529996529,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
8,0,8,0,,,,,,,,,,,,,,,,,46.7892193000298,46.7892193000298,46.7892193000298,46.7892193000298,46.7892193000298,p,0.14212460000999272,46.95368509995751,46.97008859994821,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
9,0,9,0,,,,,,,,,,,,,,,,,47.372690699994564,47.372690699994564,47.372690699994564,47.372690699994564,47.372690699994564,p,0.13182609993964434,47.51998490002006,47.53671470005065,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
10,0,10,0,,,,,,,,,,,,,,,,,47.939079800155014,47.939079800155014,47.939079800155014,47.939079800155014,47.939079800155014,p,0.09810770000331104,48.05351240001619,48.069887300021946,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
11,0,11,0,,,,,,,,,,,,,,,,,48.47323360014707,48.47323360014707,48.47323360014707,48.47323360014707,48.47323360014707,o,0.13297050003893673,48.62008560006507,48.63696400006302,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
12,0,12,0,,,,,,,,,,,,,,,,,49.03908820007928,49.03908820007928,49.03908820007928,49.03908820007928,49.03908820007928,o,0.0919371999334544,49.15336290001869,49.16995400004089,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
13,0,13,0,,,,,,,,,,,,,,,,,49.57337779994123,49.57337779994123,49.57337779994123,49.57337779994123,49.57337779994123,o,0.06948110018856823,49.66992100002244,49.686653200071305,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
14,0,14,0,,,,,,,,,,,,,,,,,50.08905760012567,50.08905760012567,50.08905760012567,50.08905760012567,50.08905760012567,o,0.031272799940779805,50.13665709993802,50.15358730009757,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
15,0,15,0,,,,,,,,,,,,,,,,,50.556661900132895,50.556661900132895,50.556661900132895,50.556661900132895,50.556661900132895,o,0.18041859986260533,50.75344979995862,50.77003230014816,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
16,0,16,0,,,,,,,,,,,,,,,,,51.17270030011423,51.17270030011423,51.17270030011423,51.17270030011423,51.17270030011423,w,0.1508855998981744,51.35328570008278,51.36996429995634,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
17,0,17,0,,,,,,,,,,,,,,,,,51.773154800059274,51.773154800059274,51.773154800059274,51.773154800059274,51.773154800059274,w,0.14839740004390478,51.93663000012748,51.95347629999742,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
18,0,18,0,,,,,,,,,,,,,,,,,52.355887700105086,52.355887700105086,52.355887700105086,52.355887700105086,52.355887700105086,w,0.07208700012415648,52.45372899994254,52.46985059999861,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
19,0,19,0,,,,,0,0,0,0,,,,,,,,,52.87260100012645,52.87260100012645,52.87260100012645,52.87260100012645,52.87260100012645,w,0.08444000012241304,52.986568900058046,53.003608300117776,53.403934800066054,53.403934800066054,53.403934800066054,317,space,2.377023700159043,55.80361660011113,56.20342819998041,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
20,0,20,0,0,0,0,0,,,,,,,,,56.20342819998041,56.20342819998041,space,1.4440264999866486,,,,,,,,,,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
20,0,20,0,,,,,,,,,,,,,,,,,57.67236560001038,57.67236560001038,57.67236560001038,57.67236560001038,57.67236560001038,q,0.4230929999612272,58.11977050011046,58.136457999935374,,,,,,,,,58.136457999935374,58.538866200018674,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
21,0,21,0,,,,,,,,,,,,,,,,,58.538866200018674,58.538866200018674,58.538866200018674,58.538866200018674,58.538866200018674,w,0.0769994999282062,58.63640800002031,58.653018299955875,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
22,0,22,0,,,,,,,,,,,,,,,,,59.05636760010384,59.05636760010384,59.05636760010384,59.05636760010384,59.05636760010384,o,0.19923419994302094,59.26959510007873,59.286316900048405,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
23,0,23,0,,,,,,,,,,,,,,,,,59.68848769995384,59.68848769995384,59.68848769995384,59.68848769995384,59.68848769995384,p,0.04284800007008016,59.753041699994355,59.769461899995804,,,,,,,,,,,121,sdfsd,2023-04-14_09h36.00.498,bandit task,2022.2.5,59.95599232948323,
