newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text_2.stopped,text_7.stopped,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
17,0,17,0,,,,,,,,,,,,,,,,,51.11752640013583,51.11752640013583,51.11752640013583,51.11752640013583,51.11752640013583,o,0.17318439995869994,51.315808000043035,51.331930600106716,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
18,0,18,0,,,,,,,,,,,,,,,,,51.73418790008873,51.73418790008873,51.73418790008873,51.73418790008873,51.73418790008873,w,0.18321050005033612,51.93151600006968,51.94824589998461,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
19,0,19,0,,,,,,,,,,,,,,,,,52.351059100124985,52.351059100124985,52.351059100124985,52.351059100124985,52.351059100124985,p,0.17413460020907223,52.54830519994721,52.564855800010264,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
20,0,20,0,,,,,0,0,0,0,,,,,,,,,52.96728549990803,52.96728549990803,52.96728549990803,52.96728549990803,52.96728549990803,q,0.17065939982421696,53.16652230010368,53.181523100007325,53.58174549997784,53.58174549997784,53.58174549997784,02,space,3.2453338000923395,56.84801899990998,57.24797790008597,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
21,0,21,0,0,0,0,0,,,,,,,,,57.24797790008597,57.24797790008597,space,1.9755645000841469,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
21,0,21,0,,,,,,,,,,,,,,,,,59.25065810000524,59.25065810000524,59.25065810000524,59.25065810000524,59.25065810000524,q,0.47578429989516735,59.74785379995592,59.76458949991502,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
22,0,22,0,,,,,,,,,,,,,,,,,60.16709779994562,60.16709779994562,60.16709779994562,60.16709779994562,60.16709779994562,o,0.18932730006054044,60.381270500132814,60.39787760004401,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
23,0,23,0,,,,,,,,,,,,,,,,,60.80064069991931,60.80064069991931,60.80064069991931,60.80064069991931,60.80064069991931,w,0.2932756000664085,61.11465850006789,61.131274400046095,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
24,0,24,0,,,,,,,,,,,,,,,,,61.53454659995623,61.53454659995623,61.53454659995623,61.53454659995623,61.53454659995623,p,0.2655273999553174,61.81435910006985,61.831202500034124,,,,,,,,,61.831202500034124,62.23360539996065,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
25,0,25,0,,,,,,,,,,,,,,,,,62.23360539996065,62.23360539996065,62.23360539996065,62.23360539996065,62.23360539996065,q,0.670804199995473,62.93108340003528,62.94773510005325,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
26,0,26,0,,,,,,,,,,,,,,,,,63.35046089999378,63.35046089999378,63.35046089999378,63.35046089999378,63.35046089999378,o,0.3249183997977525,63.6976435999386,63.71442910004407,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
27,0,27,0,,,,,,,,,,,,,,,,,64.11695579998195,64.11695579998195,64.11695579998195,64.11695579998195,64.11695579998195,w,0.28296310012228787,64.41553679993376,64.43104770011269,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
28,0,28,0,,,,,,,,,,,,,,,,,64.83370919991285,64.83370919991285,64.83370919991285,64.83370919991285,64.83370919991285,p,0.26046840008348227,65.11478330008686,65.13104170002043,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
29,0,29,0,,,,,,,,,,,,,,,,,65.533743100008,65.533743100008,65.533743100008,65.533743100008,65.533743100008,q,0.2564798998646438,65.81480480008759,65.83127150009386,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
30,0,30,0,,,,,,,,,,,,,,,,,66.2338255001232,66.2338255001232,66.2338255001232,66.2338255001232,66.2338255001232,o,0.20733230002224445,66.46428850013763,66.481041100109,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
31,0,31,0,,,,,,,,,,,,,,,,,66.88339180010371,66.88339180010371,66.88339180010371,66.88339180010371,66.88339180010371,w,0.21679270011372864,67.11423790012486,67.13098630006425,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
32,0,32,0,,,,,,,,,,,,,,,,,67.5335017000325,67.5335017000325,67.5335017000325,67.5335017000325,67.5335017000325,p,0.17466010013595223,67.73088510008529,67.74766069999896,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
33,0,33,0,,,,,,,,,,,,,,,,,68.15028699999675,68.15028699999675,68.15028699999675,68.15028699999675,68.15028699999675,q,0.2482536998577416,68.41416770010255,68.430980599951,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
34,0,34,0,,,,,,,,,,,,,,,,,68.83353270008229,68.83353270008229,68.83353270008229,68.83353270008229,68.83353270008229,o,0.21194379986263812,69.06416820012964,69.08123939996585,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
35,0,35,0,,,,,,,,,,,,,,,,,69.48404820007272,69.48404820007272,69.48404820007272,69.48404820007272,69.48404820007272,w,0.1959733001422137,69.69754449999891,69.71419259998947,,,,,,,,,69.71419259998947,70.11674350011162,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
36,0,36,0,,,,,,,,,,,,,,,,,70.11674350011162,70.11674350011162,70.11674350011162,70.11674350011162,70.11674350011162,p,0.13689480000175536,70.2810138000641,70.2975767001044,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
37,0,37,0,,,,,,,,,,,,,,,,,70.70017500012182,70.70017500012182,70.70017500012182,70.70017500012182,70.70017500012182,q,0.18102880008518696,70.89743430004455,70.91489959997125,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
38,0,38,0,,,,,,,,,,,,,,,,,71.3164945000317,71.3164945000317,71.3164945000317,71.3164945000317,71.3164945000317,q,0.2148661999963224,71.54748459998518,71.56425560009666,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
39,0,39,0,,,,,,,,,,,,,,,,,71.96659850003198,71.96659850003198,71.96659850003198,71.96659850003198,71.96659850003198,q,0.15130580007098615,72.14771859999746,72.16447079996578,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
40,0,40,0,,,,,,,,,,,,,,,,,72.56715129991062,72.56715129991062,72.56715129991062,72.56715129991062,72.56715129991062,q,0.18255290016531944,72.76406170008704,72.78102619992569,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
41,0,41,0,,,,,0,0,0,0,,,,,,,,,73.18354579992592,73.18354579992592,73.18354579992592,73.18354579992592,73.18354579992592,q,0.3880495000630617,73.59731979994103,73.61411960003898,74.01429189997725,74.01429189997725,74.01429189997725,988,space,3.0539248001296073,77.09726989991032,77.49725189991295,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
